x,y
8.03E+00,1.15E+01
7.98E+00,1.12E+01
7.93E+00,1.09E+01
7.78E+00,1.06E+01
7.58E+00,1.03E+01
7.33E+00,1.01E+01
7.03E+00,9.92E+00
6.73E+00,9.87E+00
6.43E+00,9.82E+00
6.13E+00,9.82E+00
5.83E+00,9.82E+00
5.53E+00,9.87E+00
5.23E+00,1.00E+01
4.93E+00,1.03E+01
4.78E+00,1.06E+01
4.63E+00,1.09E+01
4.58E+00,1.12E+01
4.58E+00,1.15E+01
4.58E+00,1.18E+01
4.63E+00,1.21E+01
4.68E+00,1.24E+01
4.73E+00,1.27E+01
4.78E+00,1.30E+01
4.88E+00,1.33E+01
4.93E+00,1.36E+01
5.03E+00,1.39E+01
5.13E+00,1.42E+01
5.23E+00,1.45E+01
5.33E+00,1.48E+01
5.48E+00,1.51E+01
5.58E+00,1.54E+01
5.73E+00,1.57E+01
5.88E+00,1.60E+01
5.93E+00,1.63E+01
5.98E+00,1.66E+01
6.03E+00,1.69E+01
5.98E+00,1.72E+01
5.98E+00,1.75E+01
5.93E+00,1.78E+01
5.88E+00,1.81E+01
5.73E+00,1.84E+01
5.58E+00,1.87E+01
5.43E+00,1.90E+01
5.23E+00,1.93E+01
4.98E+00,1.96E+01
4.78E+00,1.99E+01
4.53E+00,2.02E+01
4.38E+00,2.05E+01
4.33E+00,2.08E+01
4.28E+00,2.11E+01
4.33E+00,2.14E+01
4.38E+00,2.17E+01
4.48E+00,2.20E+01
4.73E+00,2.23E+01
5.03E+00,2.25E+01
5.33E+00,2.25E+01
5.63E+00,2.26E+01
5.93E+00,2.27E+01
6.23E+00,2.28E+01
6.53E+00,2.28E+01
6.83E+00,2.27E+01
7.13E+00,2.25E+01
7.33E+00,2.22E+01
7.48E+00,2.19E+01
7.58E+00,2.16E+01
7.63E+00,2.13E+01
7.68E+00,2.10E+01
7.68E+00,2.07E+01
7.68E+00,2.04E+01
7.73E+00,2.01E+01
7.78E+00,1.98E+01
7.83E+00,1.95E+01
7.83E+00,1.92E+01
7.83E+00,1.89E+01
7.83E+00,1.86E+01
7.88E+00,1.83E+01
7.88E+00,1.80E+01
7.88E+00,1.77E+01
7.88E+00,1.74E+01
7.93E+00,1.71E+01
7.93E+00,1.68E+01
7.93E+00,1.65E+01
7.93E+00,1.62E+01
7.93E+00,1.59E+01
7.93E+00,1.56E+01
7.93E+00,1.53E+01
7.93E+00,1.50E+01
7.93E+00,1.47E+01
7.93E+00,1.44E+01
7.93E+00,1.41E+01
7.98E+00,1.38E+01
7.98E+00,1.35E+01
8.03E+00,1.32E+01
8.03E+00,1.29E+01
8.08E+00,1.26E+01
8.08E+00,1.23E+01
8.08E+00,1.20E+01
8.08E+00,1.17E+01
