x,y,timestamp
0.7408,3.1583,1757388686.9304268
0.7408,3.1583,1757388687.73717
0.7408,3.1583,1757388687.7412179
0.7408,3.1583,1757388687.746774
0.7409,3.1583,1757388687.753495
0.7409,3.1583,1757388687.7578342
0.7409,3.1583,1757388687.762066
0.7409,3.1583,1757388687.8312776
0.7409,3.1583,1757388687.8901424
0.7409,3.1462,1757388688.060183
0.7304,3.0216,1757388688.1519964
0.7075,2.9377,1757388688.2875006
0.5574,2.7091,1757388688.348696
0.4863,2.6485,1757388688.5114896
0.2277,2.4268,1757388688.5659657
0.1589,2.352,1757388688.7386668
0.7996,3.7582,1757388688.8048775
0.8013,3.7197,1757388688.967648
0.8165,3.5243,1757388689.0422506
0.826,3.4047,1757388689.196372
0.8496,3.0997,1757388689.2547429
0.8598,2.9615,1757388689.4222713
0.8841,2.6167,1757388689.4893842
0.8915,2.5135,1757388689.6500401
0.9246,2.1365,1757388689.7203114
0.94,1.9989,1757388689.877629
0.9878,1.6928,1757388689.9370103
1.0151,1.5593,1757388690.1043222
1.1012,1.2253,1757388690.171318
1.1423,1.0931,1757388690.3312213
1.247,0.8015,1757388690.3837833
1.2855,0.7056,1757388690.5592651
1.4379,0.3594,1757388690.6198273
1.4823,0.266,1757388690.7864032
1.652,-0.0722,1757388690.8493838
1.7,-0.1637,1757388691.0151443
1.8636,-0.4679,1757388691.0689433
1.9134,-0.5585,1757388691.2422361
2.103,-0.8858,1757388691.2997236
2.1579,-0.973,1757388691.4712598
2.382,-1.279,1757388691.5366206
2.4682,-1.3846,1757388691.7870412
2.7915,-1.788,1757388691.8503187
2.8552,-1.8694,1757388691.9049478
2.9403,-1.9788,1757388691.970331
3.0045,-2.0594,1757388692.0222628
3.0946,-2.164,1757388692.084709
3.1647,-2.2396,1757388692.1439285
3.2602,-2.3369,1757388692.2037199
3.3597,-2.433,1757388692.267767
3.435,-2.5038,1757388692.3207068
3.5365,-2.5982,1757388692.3841891
3.6123,-2.6685,1757388692.4398162
3.7376,-2.7857,1757388692.5200994
3.8378,-2.8813,1757388692.582663
3.9113,-2.9539,1757388692.6412208
4.0065,-3.0516,1757388692.7014909
4.1008,-3.1529,1757388692.7701547
4.1925,-3.2566,1757388692.8342078
4.2591,-3.3356,1757388692.8935256
